,AnswerProba,ElseEntropy,AnswerEntropy,T1,T2,T3,T4,T5,stdX,stdY,text_length,alphaWordCount,signWordCount,numericWordCount,avg_word_length
0,0.44345661450924606,1.3161251045493911,0.9907551984232223,,,,,,170.0094513304089,129.98234388647646,148.0,27.0,5.0,1.0,5.481481481481482
1,0.5714285714285714,0.6500224216483541,0.9852281360342515,,,,,,165.98646091875486,111.30407549691172,53.0,9.0,1.0,8.0,5.888888888888889
2,0.3852140077821012,1.5607747988468992,0.9616414223461598,,,,,,197.1947491624009,133.45808616898748,100.0,11.0,26.0,4.0,9.090909090909092
3,0.8087574850299402,1.5646060103861485,0.7040634807478098,,,,,,188.9861145145059,143.7039609835681,60.0,11.0,5.0,4.0,5.454545454545454
4,0.4014084507042254,1.5683866917542337,0.9717685252857038,1.0,1.0,1.0,0.0,0.0,190.13194997159212,111.2508408956984,160.0,42.0,5.0,0.0,3.8095238095238093
5,0.1908763505402161,1.203039913752134,0.7033011218520001,,,,,,191.70373347582833,138.21921825823776,115.0,22.0,2.0,5.0,5.2272727272727275
6,0.5285215366705471,1.5818992902851567,0.997651523900128,,,,,,174.64185311518008,125.79941071220162,138.0,23.0,13.0,2.0,6.0
7,0.34831460674157305,1.5365899093008555,0.932553842883338,,,,,,189.43580030625978,145.19553632020862,193.0,27.0,5.0,11.0,7.148148148148148
8,0.3919209282337774,1.5168034041314145,0.9660280090319169,,,,,,97.59677355493538,66.23516605416054,206.0,36.0,3.0,1.0,5.722222222222222
9,0.36330935251798563,1.393186035465674,0.945395957174508,,,,,,189.2835040302223,135.04472520658646,104.0,16.0,7.0,7.0,6.5
10,0.4020356234096692,1.5767396855324396,0.972128910261769,,,,,,206.0705475208807,130.9539953147245,132.0,21.0,25.0,2.0,6.285714285714286
11,0.45831414094887146,1.5589694064901325,0.9949802015956046,,,,,,177.17956324908383,136.59209130943134,102.0,11.0,18.0,7.0,9.272727272727273
12,0.3991769547325103,1.2994969936206904,0.9704671073562586,,,,,,171.22489171165117,118.28428414206175,230.0,45.0,4.0,0.0,5.111111111111111
13,0.6965845909451946,1.4409576048710266,0.885425886413467,,,,,,206.88682177652927,144.8561697593698,49.0,11.0,1.0,4.0,4.454545454545454
14,0.6682380671773719,1.507942647505878,0.9167164117196482,,,,,,182.0457817876225,136.69222886506302,154.0,25.0,13.0,2.0,6.16
15,0.5,1.0,1.0,,,,,,180.11511341814895,127.28324913437778,71.0,13.0,3.0,4.0,5.461538461538462
16,0.5834782608695652,1.42456866373665,0.9797983425987344,1.0,1.0,0.0,0.0,0.0,162.96672765011775,127.8959598392767,81.0,15.0,1.0,5.0,5.4
17,0.42924528301886794,1.58251798039032,0.9855064735806176,,,,,,205.080078363713,155.8728281056922,108.0,23.0,3.0,2.0,4.695652173913044
18,0.3175333640128854,1.549317552874844,0.9016788856288513,,,,,,185.00918736182814,133.2066952845804,149.0,20.0,17.0,1.0,7.45
19,0.6355869242199108,1.5587736983367644,0.9462855069645298,,,,,,144.25091565278422,133.05696357408564,134.0,17.0,17.0,10.0,7.882352941176471
20,0.6338605741066198,1.1877494689751131,0.9476616527412589,,,,,,181.64509352030404,120.74581773295505,62.0,12.0,1.0,4.0,5.166666666666667
